Stock Symbol,Company Name,ISIN Code,Qty,Average Cost Price,Current Market Price,% Change over prev close,Value At Cost,Value At Market Price,Days Gain,Days Gain %,Realized Profit / Loss,Unrealized Profit/Loss,Unrealized Profit/Loss %,
APOTYR,APOLLO TYRES LTD,INE438A01022,20,239.62,271.10,- 0.42,4792.40,5422.00,-23.00,-23573.91,0.00,629.60,13.14,
TATMOT,TATA MOTORS LIMITED,INE155A01022,10,316.53,396.25,- 0.69,3165.30,3962.50,-27.50,-14409.09,5939.55,797.20,25.19,
TMLDVR,TATA MOTORS LTD - DVR,IN9155A01020,10,167.10,191.40,- 1.19,1671.00,1914.00,-23.00,-8321.74,0.00,243.00,14.54,
STABAN,STATE BANK OF INDIA,INE062A01020,10,413.87,527.20,+ 1.10,4138.70,5272.00,57.50,9168.70,(1164.21),1133.30,27.38,
NOCIL,NOCIL LIMITED,INE163A01018,10,218.76,254.50,+ 0.14,2187.60,2545.00,3.50,72714.29,(4145.13),357.40,16.34,
NBCC,NBCC (INDIA) LIMITED,INE095N01031,50,17.76,30.25,- 0.33,888.00,1512.50,-5.00,-30250.00,(1024.26),624.50,70.33,
BHAELE,BHARAT ELECTRONICS LTD,INE263A01024,120,34.56,100.80,- 0.59,4147.20,12096.00,-72.00,-16800.00,0.00,7948.80,191.67,
HINLEV,HINDUSTAN UNILEVER LIMITED,INE030A01027,5,2150.78,2575.80,+ 0.37,10753.90,12879.00,47.00,27402.13,0.00,2125.10,19.76,
ITC,ITC LIMITED,INE154A01025,14,214.42,332.10,+ 1.05,3001.88,4649.40,48.30,9626.09,163.67,1647.52,54.88,
PYRSAI,PYRAMID SAIMIRA THEATRE LTD,INE165H01018,100,21.13,5.29, 0.00,2113.00,529.00,0.00,0.00,(2605.23),-1584.00,(74.96),
SAIL,STEEL AUTHORITY OF INDIA LTD,INE114A01011,50,29.72,77.90,- 0.32,1486.00,3895.00,-12.50,-31160.00,2059.34,2409.00,162.11,
CELLAB,CELESTIAL BIOLABS LIMITED,INE221I01017,200,9.19,2.02, 0.00,1838.00,404.00,0.00,0.00,(877.12),-1434.00,(78.02),
SUNPHA,SUN PHARMACEUTICAL INDUSTRIES,INE044A01036,10,581.70,976.30,+ 0.82,5817.00,9763.00,79.00,12358.23,0.00,3946.00,67.84,
JISDVR,JAIN IRRIGATION SYSTEMS DVR,IN9175A01010,50,18.36,19.10,+ 0.26,918.00,955.00,2.50,38200.00,0.00,37.00,4.03,
NTPC,NTPC LIMITED,INE733E01010,21,114.05,165.10,+ 0.21,2395.05,3467.10,7.35,47171.43,(985.39),1072.05,44.76,
SJVLIM,SATLUJ JAL VIDYUT NIGAM LTD,INE002L01015,50,30.27,32.35,- 0.77,1513.50,1617.50,-12.50,-12940.00,0.00,104.00,6.87,
ARVFAS,ARVIND FASHIONS LIMITED,INE955V01021,2,339.33,306.75,+ 0.43,678.66,613.50,2.60,23596.15,0.00,-65.16,(9.60),
IDECEL,VODAFONE IDEA LIMITED,INE669E01016,500,3.28,8.50,- 1.16,1640.00,4250.00,-50.00,-8500.00,4759.63,2610.00,159.15,
