Company Name,yahoo,Qty,Average Cost Price
APOLLO TYRES LTD,APOLLOTYRE.NS,20,239.62
TATA MOTORS LIMITED,TATAMOTORS.NS,10,316.53
TATA MOTORS LTD - DVR,TATAMTRDVR.NS,10,167.1
STATE BANK OF INDIA,SBIN.NS,10,413.87
NOCIL LIMITED,NOCIL.NS,10,218.76
NBCC (INDIA) LIMITED,NBCC.NS,50,17.76
BHARAT ELECTRONICS LTD,BEL.NS,120,34.56
HINDUSTAN UNILEVER LIMITED,HINDUNILVR.NS,5,2150.78
ITC LIMITED,ITC.NS,14,214.42
STEEL AUTHORITY OF INDIA LTD,SAIL.NS,50,29.72
SUN PHARMACEUTICAL INDUSTRIES,SUNPHARMA.NS,10,581.7
JAIN IRRIGATION SYSTEMS DVR,JISLDVREQS.NS,50,18.36
NTPC LIMITED,NTPC.NS,21,114.05
SATLUJ JAL VIDYUT NIGAM LTD,SJVN.NS,50,30.27
ARVIND FASHIONS LIMITED,ARVINDFASN.NS,2,339.33
VODAFONE IDEA LIMITED,IDEA.NS,500,3.28
